capital,company_name,garden,income_growth,is_sold,market_value,net_asset,net_capital,net_profit,net_profit_growth,net_profit_t,net_profit_t_1,net_profit_t_2,net_profit_t_3,status,stock_code,stock_share,target_income,target_industry,total_debt
,均胜股份75%股权、长春均胜100%股权、华德塑料82.3%股权和华德奔源100%股权,,,1,,40332.492185,,10821.96,,,15058.35,17646.12,19322.09,,,,,机械、设备、仪表,
,"长江出版传媒集团合法拥有的出版、发行、印刷、印刷物资供应等相关的经营业务、股权资产，具体指：长江出版传媒集团拟注入的本部教材中心相关业务资产以湖北人民出版社、长江文艺
出版社、湖北教育出版社、湖北
少年儿童出版社、湖北科学技术出版社有
限公司、湖北美术出版社、崇文书局有限
公司、湖北九通电子音像出版社、湖北大
家报刊传媒、湖北教育报刊传媒有限
公司、湖北长江出版传媒集团数字出版、
湖北省新华书店（集团）、湖北天一国际
文化、湖北新华印务、湖北长江
出版印刷物资的股权资产（以上均指 100%
股权）",,,1,,175836,,23264.67,,,25686.165513,28392.353074,30061.307027,,,,,传播与文化产业,
,炼石矿业 100%股权,,,1,,30891.42,,2046.75,,,3910.65,5564.71,6431.3,,,,,采掘业,
,长峰科技100%的股权,,,1,,12619.28,,1672.16,,2473.58,2572.61,2765.86,2957.77,,,,,信息技术业,
,信赢煤焦化100%股权、鲍德气体100%股权；莱钢集团持有的天元气体100%的股权、国贸公司83.33%股权、电子公司100%股权及自动化部、动力部和运输部相关的经营性资产和负债,,,1,,310443.06,,40089.5,,,31755.57,,,,,,,石油、化学、塑胶、塑料,
,江西煤业100%股权,,,1,,315394.81,,26601.44451,,31085.32,33100,38500,42500,,,,,采掘业,
,友网科技 100%股权,,,1,,4092.1,,1668.13,,,2286.9,3026.79,3729.52,,,,,信息技术业,
,交运集团持有的交运沪北100%股权、临港口岸码头35%股权和2亿元现金、久事公司持有的交运巴士48.5%股权、地产集团持有的南站长途25%股权,,,1,,66406.63,,5865.804254,,6731.85,,,,,,,,交通运输、仓储业,
,"生物工程公司标的资产
的合称",,,1,,29996.77,,10041.99,,,,,,,,,,医药、生物制品,
,上海开创企业发展100%股权,,,1,,70491.64,,7951.19,,11589.43,14071.35,,,,,,,社会服务业,
,北京同方微电子100%股权,,,1,,50833.27,,7035.96323,,7246.89,9009.69,10715.19,12081.8,,,,,信息技术业,
,基建公司100%股权、投资公司100%股权、第一市政100%股权、场道公司100%股权、第一管线100%股权、第二管线100%股权、地下院100%股权、燃气院30%股权,,,1,,449131.63,,44748.61169,,51811.33,53750.53,,,,,,,建筑业,
,陕飞集团相关资产（含负债）,,,1,,169691.63,,15135.46,,14075.42,8499.75,11442.84,13519.68,,,,,机械、设备、仪表,
,今久广告100%股权,,,1,,4023.99,,6311,,4206.300827,5059.99928,5796,6393,,,,23612.5,传播与文化产业,
,佳电股份51.25%,,,1,,94152.23,,22248.84,,18092.78,16775.2,19040.86,22378.23,,,,185121.97,机械、设备、仪表,
,港务集团在鲅鱼圈港区拥有的54＃－60＃泊位资产和业务,,,1,,485810.068746,,24385.542762,,22558.15,未列明,未列明,未列明,,,,56957.07,交通运输、仓储业,
,中航投资100%的股权,,,1,,365280.48,,29281.368287,,52672.11,未列明,未列明,未列明,,,,153763.49452,金融、保险业,
,商旅公司、通茂控股,,,1,,201104.78,,5691.24,,0,0,0,6733.65,,,,141201.18,社会服务业,
,华讯网络有限100%的股权,,,1,,39269.31,,13030.014347,,13030.014347,15307.77,17788.13,20469,,,,134899.27,信息技术业,
,西安4宗地、衡阳5宗地、武汉1宗地、洛阳4宗地、平顶山2宗地的国有出让土地使用权。,,,1,,19716.48,,0,,0,0,0,0,,,,0,房地产业,
,泰豪软件100%股权,,,1,,16680.25,,3308.7,,20469,3637.41,,,,,,21657.92,信息技术业,
,网御星云的100%股权,,,1,,7449.726936,,3061,,2595.679182,3664.9,2950,3420,,,,22420.75,信息技术业,
,常州八益电缆股份有限公司100%股权,,,1,,13825.76,,1726.43,,,2400,2650,2750,,,,23654.05,机械、设备、仪表,
,拟注入资产：置入资产、罗特克斯认股资产和被吸并资产,,,1,,560014.86,,183614.51,,80244.69,191215,248495,314697,,,,2281997.19,食品、饮料,
,拟置出资产:广钢股份持有的经审计及评估确认的全部资产及负债,,,1,,151468.51,,19288.03,,24692.79,32220.77,,,,,,145605.54,机械、设备、仪表,
,四川公路桥梁建设集团有限公司,,,1,,156248.36,,44238.61,,45749.62,40238.82,38280.76,38984.04,,,,1032106.37,建筑业,
,置入：山东华联矿业股份有限公司100%股权,,,1,,85043.91,,24588.03269,,24527.06,18899.29,21499.58,20671.16,,,,99299.52,采掘业,
,深圳市广前电力有限公司60%股权、广东惠州天然气发电有限公司35%股权、广东粤电石碑山风能开发有限公司40%股权、广东惠州平海发电厂有限公司45%股权、广东红海湾发电有限公司40%股权、广东国华粤电台山发电有限公司20%股权、广东省电力工业燃料有限公司15%股权,,,1,,475524.91,,,,,,,,,,,,电力、煤气及水的生产和供应业,
,江苏晋和、徐州怡丰、邳州丰源各100%股权,,,1,,72927.556931,,32847.756414,,31415.07,37706.7,,,,,,,批发和零售贸易,
