buyer_name,market_based_value,static_pe,net_profit_t_1,net_profit_t_2,net_profit_t_3,sale_at,year,pricing_method,ps,target_business,buyer_stock_code,dynamic_pe,support_fund_use,bargain_value,profit_based_value,pb,capital_based_value,target_name,target_income,net_profit_t,target_net_asset,net_profit,target_estimate_value,memo,value_at,growth_ratio,support_fund,bargain_type,consultant,target_industry,payment_type,buyer_industry
上海建工,,6.44262234588,,67792.8,73935.47,2011-07-01 00:00:00,2011.0,资产基础法,,土地开发,600170.SH,,,,,,298395.08,铁岭财京投资的净资产,,107802.683318,136253.16,46315.780125,298395.08,,2010-12-31 00:00:00,1.19000484099,,借壳上市,申银万国,房地产业,,建筑装饰
新希望,,9.38667508802,99986.34,111611.28,123206.81,2011-07-04 00:00:00,2011.0,收益法,,饲料加工,000876.SZ,10.854794965,,,1085331.22,,55235.62,六和集团、六和股份、新希望农牧、枫澜科技、新希望乳业、成都新希望实业、四川新希望实业,,107461.54,452458.79,115624.671124,1085331.22,,2010-10-31 00:00:00,1.39874049082,,集团整体上市,华泰联合,农副食品加工业,,农林牧渔
盛达股份,,10.220214138200001,21968.21,21963.89,33257.37,2011-07-04 00:00:00,2011.0,资产基础法,,铅锌矿采掘,000603.SZ,13.0166590724,,,,,285952.7,银都矿业62.96%的股权,,27979.13,19735.43,27979.13,285952.7,,2010-09-30 00:00:00,13.489306794900001,,借壳上市,西南证券,采掘业,,有色金属
华邦颖泰,,13.5834501252,9600,11280.26,14629.99,2011-07-05 00:00:00,2011.0,收益法,,农药制造,002004.SZ,11.4184604167,,,109617.22,,91083.94,颖泰嘉和77.2563%的股权,,8069.91,84686.21,8069.91,109617.22,,2009-08-31 00:00:00,0.294392794293,,产业并购,西南证券,石油、化学、塑胶、塑料,,化工
宁夏建材,,73.6327534051,13368.18,11309.81,8746.64,2011-07-08 00:00:00,2011.0,资产基础法,,水泥制造,600449.SH,18.8346715858,,,244409.22,,251785.28,建材集团的全部股东权益,,,99416.74,3419.473921,251785.28,,2010-07-31 00:00:00,1.53262458616,,产业并购,海通证券,金属、非金属,,建筑材料
华夏幸福,,23.3287165951,31635,44129,,2011-07-22 00:00:00,2011.0,资产基础法,,房地产开发,600340.SH,18.119484604300002,,,,,166946.803075,京御地产100%股权,,24571,131941.817256,24571,573209.895457,,2009-04-30 00:00:00,3.34441413176,,借壳上市,华泰联合,房地产业,,房地产
亿晶光电,,15.1770506095,30442.01,34890.26,36658.39,2011-07-22 00:00:00,2011.0,收益法,,光伏组件制造,600537.SH,9.27604057682,,,282381.32,,101669.44,亿晶光电 100%股权,,18605.81,94755.26,18605.81,282381.32,,2009-09-30 00:00:00,1.98011234416,,借壳上市,中投证券,机械、设备、仪表,,电气设备
上汽集团,,5.031831639,607776,,,2011-08-02 00:00:00,2011.0,资产基础法,,汽车制造,600104.SH,4.791034333380002,,,,,2911875.683,本次交易拟购买的上汽集团与工业有限的资产合称,,578691,2095525.9537,578691,2911875.683,,2010-12-31 00:00:00,0.3895679401430001,,集团整体上市,国泰君安,房地产业,,汽车
三湘股份,,10.924225019000001,41982.07,43360.48,,2011-08-02 00:00:00,2011.0,资产基础法,,房地产开发,000863.SZ,5.82829669904,,,,,244683.96,和光商务发行股份购买三湘股份100%股,,22398.29,35664.14,22398.29,244683.96,,2011-04-30 00:00:00,5.86078396956,,借壳上市,国金证券,房地产业,,房地产
北大医药,,7.394380728310001,2080.08,,,2011-08-19 00:00:00,2011.0,资产基础法,,医药,000788.SZ,6.51217260875,,,14693.01,,13545.84,北京北医医药100%的股权,,1831.91,11457.46,1831.91,13545.84,,2010-09-30 00:00:00,0.182272510661,,集团整体上市,西南证券,医药、生物,,医药生物
宋都股份,,11.8278501816,105623,,,2011-08-19 00:00:00,2011.0,资产基础法,,房地产开发,600077.SH,3.39231961972,,,,,358306.975194,宋都集团100%股权,,30293.499638,193125.543626,30293.499638,358306.975194,,2010-12-31 00:00:00,0.8553059759299999,,借壳上市,海通证券,房地产业,,交通运输
兴业矿业,,,,,,2011-08-24 00:00:00,2011.0,资产基础法,,铅锌矿采掘,000426.SZ,,,,,,139854.036298,"融冠矿业、锡林矿业、巨源矿业、
富生矿业、双源有色五家公司100％的股权",,,49500.294795,,139854.036298,,2009-12-31 00:00:00,1.82531724058,,借壳上市,长江证券,采掘业,,有色金属
海润光伏,,6.11194269129,49855.12,50965.79,52858.38,2011-08-24 00:00:00,2011.0,资产基础法,,光伏设备制造,600401.SH,4.68379396138,,,498566.55,,233511.11,海润光伏的股东全部权益,,38205.71,212597.71,38205.71,233511.11,,2010-10-31 00:00:00,0.0983707679636,,借壳上市,宏源证券,机械、设备、仪表,,电气设备
丽江旅游,,6.83338283289,6205.68,6424.08,6608.11,2011-09-14 00:00:00,2011.0,收益法,,旅游服务,002033.SZ,6.6366183883200005,,,41184.73,,8952.38,"丽江玉龙雪山印象旅游文化产业
公司 51%股权",,6026.99,9101.38,6026.99,41184.73,,2010-09-30 00:00:00,3.5251082802800005,,集团整体上市,海际大和,社会服务业,,休闲服务
昆百大A,59603.6844,17.7465724525,1550,1958,2285,2011-09-14 00:00:00,2011.0,资产基础法,,商业物业经营,000560.SZ,20.3514258065,,,31800,,31544.71,西南商厦持有的新西南100%的股权,,1777.51,7626.59,1777.51,31544.71,,2010-12-31 00:00:00,3.13614865884,,集团整体上市,海通证券,社会服务业,,商业贸易
路桥建设(退市),,,,,,2011-09-26 00:00:00,2011.0,,,工程施工,600263.SH,,,,,,,,,,,,0.0,,,,,集团整体上市,华融证券,建筑业,,
科达洁能,,8.24182387225,7644.368671,,,2011-09-26 00:00:00,2011.0,收益法,,陶瓷机械制造,600499.SH,12.8794311522,,,98455.12,,53280.44,恒力泰100%股权,,8727.360788,42578.06,11945.792767,98455.12,,2011-03-31 00:00:00,1.31234396306,,产业并购,西南证券,机械、设备、仪表,,机械设备
大连重工,,7.19140505041,84014,88072,88284,2011-09-29 00:00:00,2011.0,收益法,,重型装备制造,002204.SZ,6.477777037159999,,,544223.96,,513624.84,,,80552,363677.78,75677,544223.96,,2011-03-31 00:00:00,0.496445452345,,集团整体上市,中信建投,机械、设备、仪表,,机械设备
百视通,,,269560,,,2011-09-29 00:00:00,2011.0,收益法,,新媒体运营,600637.SH,1.6057130138,,,432836,,,"百视通技术100%股权、文广科技100%股权、广电制作100%股权、
信投股份8,000万股（21.33%）的
股份",,259944,121326,,432836.0,,2010-11-30 00:00:00,2.5675452912,,借壳上市,中金,传播与文化产业,,传媒
曲江文旅,,22.6038983711,5597.36,6336.5,7485.35,2011-09-30 00:00:00,2011.0,收益法,,旅游服务,600706.SH,18.0432686123,,,91531,,100994.67,"大雁塔管理公司100%股权；大明宫管理公司100%股
权；城墙公司100%股权；唐艺坊公司100%股权；酒店
管理公司100%股权；曲江旅行社100%股权；百仕通旅
行社40%股权；阳光旅行社43%股权；友联旅行社
56.01%股权；大唐芙蓉园、曲江池及唐城墙公园景区
运营管理业务；御宴宫、芳林苑、唐集市、唐华宾馆、
唐华乐府、大唐博相府、海洋公园等资产及业务；“大
唐芙蓉园”、“大唐圣境”、“龙龙吉祥物”等注册商标，
具体范围与明细以交易基准日审计报告和评估报告为
准",,,58977.61,4468.02,100994.67,,2010-12-31 00:00:00,0.712423918161,,借壳上市,平安证券,社会服务业,,休闲服务
利欧股份,,13.117889456199999,2424.31,2851.64,3119.7,2011-09-30 00:00:00,2011.0,收益法,,工业用泵生产,002131.SZ,12.0805507546,,,29287,,21272.97,天鹅泵业 100%的股权,,2467.48,14718.28,2232.6,29287.0,,2010-10-31 00:00:00,0.989838486562,,产业并购,广发证券,机械、设备、仪表,,机械设备
粤传媒,,14.3184145397,27535.76,29810.59,,2011-10-19 00:00:00,2011.0,收益法、资产基础法,,广告,002181.SZ,15.079170140899999,,,1097877.96,,,广报经营 100%股权、大洋传媒 100%股权及新媒体公司 100%股权,,27510.86,153831.06,28998.77,415216.41,,2011-06-30 00:00:00,1.69917148071,,集团整体上市,中银国际,传播与文化产业,,传媒
均胜电子,,8.198112903119997,15058.35,17646.12,19322.09,2011-10-19 00:00:00,2011.0,收益法,,汽车配件制造,600699.SH,5.891724519149999,,,88719.649913,,67592.798851,均胜股份75%股权、长春均胜100%股权、华德塑料82.3%股权和华德奔源100%股权,,,40332.492185,10821.96,88719.649913,,2010-12-31 00:00:00,1.19970661634,,集团整体上市,申银万国,机械、设备、仪表,,汽车
长江传媒,,10.896623936600001,25686.165513,28392.353074,30061.307027,2011-10-20 00:00:00,2011.0,资产基础法,,平面媒体经营,600757.SH,9.86937345209,,,264499.95,,253506.36,"长江出版传媒集团合法拥有的出版、发行、印刷、印刷物资供应等相关的经营业务、股权资产，具体指：长江出版传媒集团拟注入的本部教材中心相关业务资产以湖北人民出版社、长江文艺
出版社、湖北教育出版社、湖北
少年儿童出版社、湖北科学技术出版社有
限公司、湖北美术出版社、崇文书局有限
公司、湖北九通电子音像出版社、湖北大
家报刊传媒、湖北教育报刊传媒有限
公司、湖北长江出版传媒集团数字出版、
湖北省新华书店（集团）、湖北天一国际
文化、湖北新华印务、湖北长江
出版印刷物资的股权资产（以上均指 100%
股权）",,,175836,23264.67,253506.36,,2010-12-31 00:00:00,0.441720466799,,借壳上市,长江证券,传播与文化产业,,传媒
炼石有色,,44.2944179797,3910.65,5564.71,6431.3,2011-10-31 00:00:00,2011.0,资产基础法,,有色金属采掘,000697.SZ,23.1827445565,,,90961,,90659.6,炼石矿业 100%股权,,,30891.42,2046.75,90659.6,,2010-12-31 00:00:00,1.93478253832,,产业并购,中信建投,采掘业,,有色金属
航天长峰,,21.04470266,2572.61,2765.86,2957.77,2011-11-09 00:00:00,2011.0,收益法,,计算机信息技术,600855.SH,13.6787581483,,,35190.11,,12502.25,长峰科技100%的股权,,2473.58,12619.28,1672.16,35190.11,,2010-07-31 00:00:00,1.7885988741,,集团整体上市,中信建投,信息技术业,,计算机
山东钢铁,,9.37999600893,31755.57,,,2011-11-09 00:00:00,2011.0,资产基础法,,煤化工,600022.SH,11.8416816325,,,,,376039.35,信赢煤焦化100%股权、鲍德气体100%股权；莱钢集团持有的天元气体100%的股权、国贸公司83.33%股权、电子公司100%股权及自动化部、动力部和运输部相关的经营性资产和负债,,,310443.06,40089.5,376039.35,,2010-12-31 00:00:00,0.211298941584,,集团整体上市,中金,石油、化学、塑胶、塑料,,钢铁
安源煤业,,13.9182637191,33100,38500,42500,2011-11-14 00:00:00,2011.0,收益法,,煤炭开采,600397.SH,11.185677341400002,,,370245.92,,350333.76,江西煤业100%股权,,31085.32,315394.81,26601.44451,370245.92,,2010-07-31 00:00:00,0.173912532042,,集团整体上市,华泰联合,采掘业,,采掘
立思辰,,17.7009106005,2286.9,3026.79,3729.52,2011-11-14 00:00:00,2011.0,收益法,,数据传输,300010.SZ,12.911548384300001,,,29527.42,,4199.84,友网科技 100%股权,,,4092.1,1668.13,29527.42,,2010-12-31 00:00:00,6.21571320349,,产业并购,华泰联合,信息技术业,,计算机
交运股份,,15.942958841400001,,,,2011-11-15 00:00:00,2011.0,收益法,,内河港口运输,600676.SH,,,,93518.275793,,,交运集团持有的交运沪北100%股权、临港口岸码头35%股权和2亿元现金、久事公司持有的交运巴士48.5%股权、地产集团持有的南站长途25%股权,,6731.85,66406.63,5865.804254,93518.275793,,2011-01-31 00:00:00,0.40826715334,,集团整体上市,海通证券,交通运输、仓储业,,交通运输
哈药股份,,17.427811619,,,,2011-11-15 00:00:00,2011.0,收益法,,生物制药,600664.SH,,,,175009.91,,,"生物工程公司标的资产
的合称",,,29996.77,10041.99,175009.91,,2010-12-31 00:00:00,4.83429182542,,集团整体上市,中信证券,医药、生物制品,,医药生物
市北高新,,12.171722723299998,14071.35,,,2011-12-26 00:00:00,2011.0,收益法,,园区开发,600604.SH,6.8777821602,,,96779.68,,76285.77,上海开创企业发展100%股权,,11589.43,70491.64,7951.19,96779.68,,2011-05-31 00:00:00,0.372924221936,,借壳上市,海通证券,社会服务业,,房地产
同方国芯,"170,634.80万元~184,854.36万元",21.195962105699998,9009.69,10715.19,12081.8,2011-12-26 00:00:00,2011.0,收益法,,电子科技,002049.SZ,16.5526238972,,,153412.31,,,北京同方微电子100%股权,,7246.89,50833.27,7035.96323,149134.01,,2011-09-30 00:00:00,1.93378745849,,集团整体上市,西南证券,信息技术业,,电子
隧道股份,,14.2330786576,53750.53,,,2011-12-30 00:00:00,2011.0,收益法,,基础设施建设,600820.SH,11.8493810201,,,636910.51,,,基建公司100%股权、投资公司100%股权、第一市政100%股权、场道公司100%股权、第一管线100%股权、第二管线100%股权、地下院100%股权、燃气院30%股权,,51811.33,449131.63,44748.61169,636910.51,,2011-03-31 00:00:00,0.418093199092,,集团整体上市,中信建投,建筑业,,建筑装饰
广汽长丰(退市),,,,,,2011-12-30 00:00:00,2011.0,,,汽车制造,600991.SH,,,,,,,,,,3712.5,,0.0,,2011-03-31 00:00:00,-1.0,,集团整体上市,中金,机械、设备、仪表,,
中航飞机,,18.9929371159,8499.75,11442.84,13519.68,2011-12-30 00:00:00,2011.0,收益法,,飞机制造,000768.SZ,33.8206229595,,,71639.05,,,陕飞集团相关资产（含负债）,,14075.42,169691.63,15135.46,287466.84,,2011-08-31 00:00:00,0.694054326663,,集团整体上市,光大证券,机械、设备、仪表,,国防军工
湖南天雁,,7.4324982052,6001.928789,6603.749586,,2011-12-30 00:00:00,2011.0,资产基础法,,汽车零配件制造,600698.SH,6.41669225909,,,43810.1,,38512.53,,,5689.183294,28041.77,5181.64,38512.53,,2010-09-30 00:00:00,0.373398683464,,集团整体上市,中信建投,机械、设备、仪表,,汽车
蓝色光标,,6.90838218983,5059.99928,5796,6393,2012-01-16 00:00:00,2012.0,收益法,,广告,300058.SZ,8.61636486241,无,43500.0,43598.8,,10591.76,今久广告100%股权,23612.5,4206.300827,4023.99,6311,43598.8,,2011-06-30 00:00:00,9.83471877415,0,产业并购,华泰联合,传播与文化产业,股份和现金,传媒
佳电股份,,9.34883975974,16775.2,19040.86,22378.23,2012-01-16 00:00:00,2012.0,收益法,,电机制造,000922.SZ,12.399306118599998,无,106600.43,208000.84,,112739.92,佳电股份51.25%,185121.97,18092.78,94152.23,22248.84,208000.84,,2010-09-30 00:00:00,1.20919716931,0,借壳上市,中信证券,机械、设备、仪表,股份,电气设备
营口港,,24.9892104493,未列明,未列明,未列明,2012-01-16 00:00:00,2012.0,资产基础法,,港口经营,600317.SH,,无,604250.94,609375.46,,604250.94,港务集团在鲅鱼圈港区拥有的54＃－60＃泊位资产和业务,56957.07,22558.15,485810.068746,24385.542762,609375.46,,2011-01-31 00:00:00,0.25434917718600003,0,集团整体上市,广发证券,交通运输、仓储业,股份,交通运输
中航资本,,23.6175025437,未列明,未列明,未列明,2012-02-13 00:00:00,2012.0,收益法,,综合金融,600705.SH,,无,664839.98,664839.98,,691552.79,中航投资100%的股权,153763.49452,52672.11,365280.48,29281.368287,691552.79,,2011-02-28 00:00:00,0.893210362623,0,借壳上市,中信建投,金融、保险业,股份,非银金融
号百控股,,36.3831906579,0,0,6733.65,2012-03-06 00:00:00,2012.0,收益法,,旅游服务,600640.SH,,无,207065.47,207065.47,,186888.86,商旅公司、通茂控股,141201.18,0,201104.78,5691.24,207065.47,,2011-03-31 00:00:00,0.029639723133400006,0,集团整体上市,中信证券,社会服务业,股份和现金,休闲服务
华东电脑,237000,18.1887750611,15307.77,17788.13,20469,2012-03-13 00:00:00,2012.0,收益法,,网络信息技术,600850.SH,15.482333481600001,无,174526.1,198100,,,华讯网络有限100%的股权,134899.27,13030.014347,39269.31,13030.014347,237000.0,,2009-12-31 00:00:00,5.03524737257,0,集团整体上市,民生证券,信息技术业,股份,计算机
中储股份,,,0,0,0,2012-03-21 00:00:00,2012.0,资产基础法,,房地产开发,600787.SH,,无,89811.41,89811.41,,,西安4宗地、衡阳5宗地、武汉1宗地、洛阳4宗地、平顶山2宗地的国有出让土地使用权。,0,0,19716.48,0,89811.41,中水致远资产评估有限公司对西安、衡阳、武汉、洛阳、平顶山五市16项国有出让土地使用权分别采用了市场比较法、基准地价系数修正法、成本逼近法和收益还原法,2011-02-28 00:00:00,3.55514422453,0,集团整体上市,光大证券,房地产业,股份,交通运输
泰豪科技,,12.1195635748,3637.41,,,2012-03-21 00:00:00,2012.0,收益法,,软件开发,600590.SH,11.0243277497,无,39915.0,40100,,24795.84,泰豪软件100%股权,21657.92,20469,16680.25,3308.7,40100.0,报告书为草案，未见修订稿。,2011-06-30 00:00:00,1.40404070682,0,集团整体上市,齐鲁证券,信息技术业,股份,电气设备
启明星辰,,10.6174452793,3664.9,2950,3420,2012-04-05 00:00:00,2012.0,收益法,,信息安全服务,002439.SZ,8.86790908347,,32440.0,32500,,17311.05,网御星云的100%股权,22420.75,2595.679182,7449.726936,3061,32500.0,,2010-12-31 00:00:00,3.36257600838,0,产业并购,太平洋证券,信息技术业,股份71.3%+现金28.7%,计算机
汉缆股份,,14.020209333699999,2400,2650,2750,2012-04-05 00:00:00,2012.0,收益法,,电缆制造,002498.SZ,10.0853791667,,24000.0,24204.91,,15999.74,常州八益电缆股份有限公司100%股权,23654.05,,13825.76,1726.43,24204.91,,2011-09-30 00:00:00,0.750710991656,0,产业并购,华泰联合,机械、设备、仪表,股份80%+现金20%,电气设备
双汇发展,,14.2244967459,191215,248495,314697,2012-04-05 00:00:00,2012.0,收益法,,食品加工,000895.SZ,13.6590957822,,2611824.0,2611824,,,拟注入资产：置入资产、罗特克斯认股资产和被吸并资产,2281997.19,80244.69,560014.86,183614.51,2611824.0,,2011-08-31 00:00:00,3.66384767004,0,集团整体上市,中金,食品、饮料,股份100%,食品饮料
广日股份,,11.9466767731,32220.77,,,2012-04-24 00:00:00,2012.0,资产基础法,,电梯制造,600894.SH,7.15153176041,,230427.86,248000,,230427.86,拟置出资产:广钢股份持有的经审计及评估确认的全部资产及负债,145605.54,24692.79,151468.51,19288.03,230427.86,,2010-12-31 00:00:00,0.521292181457,0,借壳上市,华泰联合,机械、设备、仪表,股份100%,机械设备
四川路桥,,5.655022388810001,40238.82,38280.76,38984.04,2012-04-28 00:00:00,2012.0,收益法,,工程施工,600039.SH,6.21713882266,,250170.33,250170.33,,199069.88,四川公路桥梁建设集团有限公司,1032106.37,45749.62,156248.36,44238.61,250170.33,,2011-05-31 00:00:00,0.601106917218,0,集团整体上市,中信证券,建筑业,股份100%,建筑装饰
华联矿业,,7.9787538301,18899.29,21499.58,20671.16,2012-04-28 00:00:00,2012.0,资产基础法,,铁矿开采,600882.SH,10.3803825435,,196181.86,199612.22,,196181.87,置入：山东华联矿业股份有限公司100%股权,99299.52,24527.06,85043.91,24588.03269,196181.86,,2011-03-31 00:00:00,1.30683020101,0,借壳上市,华泰联合,采掘业,股份100%,采掘
粤电力A,,,,,,2012-05-29 00:00:00,2012.0,资产基础法,,火力发电,000539.SZ,,,746292.55,836295.54,,746292.55,深圳市广前电力有限公司60%股权、广东惠州天然气发电有限公司35%股权、广东粤电石碑山风能开发有限公司40%股权、广东惠州平海发电厂有限公司45%股权、广东红海湾发电有限公司40%股权、广东国华粤电台山发电有限公司20%股权、广东省电力工业燃料有限公司15%股权,,,475524.91,,746292.55,,2011-06-30 00:00:00,0.5694078991570001,0,集团整体上市,中金,电力、煤气及水的生产和供应业,股份100%,公用事业
瑞茂通,303000,9.22437429763,37706.7,,,2012-05-29 00:00:00,2012.0,收益法,,煤炭物流,600180.SH,8.03570718201,不适用,298800.0,298800,,,江苏晋和、徐州怡丰、邳州丰源各100%股权,,31415.07,72927.556931,32847.756414,303000.0,,2011-06-30 00:00:00,3.15480804172,无,借壳上市,齐鲁证券,批发和零售贸易,100%股份,交通运输
电广传媒,,,,,,2012-05-29 00:00:00,2012.0,收益法,,有线电视网络运营,000917.SZ,,不适用,150150.29,150150.29,,,惠心公司、惠德公司、惠悦公司、惠润公司,,,140148.93,未列示,150150.29,,2011-05-31 00:00:00,0.07136237144299999,无,集团整体上市,招商证券,传播与文化产业,100%股份,传媒
宏发股份,,14.7429207596,31668.578994,,,2012-05-29 00:00:00,2012.0,收益法,,电气设备,600885.SH,10.0047820289,不适用,237659.61,316837.23,,,厦门宏发75.01%的股权,,29029.813862,94119.28,21490.804649,316837.23,,2011-09-30 00:00:00,2.3663371628,无,借壳上市,西南证券,机械、设备、仪表,100%股份,电气设备
恒泰艾普,,,,,,2012-06-08 00:00:00,2012.0,收益法,,石油开采特种设备,300157.SZ,,不适用,36400.0,,,,廊坊新赛浦100%股权,,,8225.13,,36476.75,,2011-09-30 00:00:00,3.4347931278900004,无,产业并购,华泰联合,石油和天然气采选服务业,股份+现金,采掘
轻纺城,,,3983.39,6920.43,8442.36,2012-06-08 00:00:00,2012.0,收益法,,商业零售,600790.SH,60.6579320629,不适用,241624.2,61792.23,,55392.19,东升路市场资产和北联市场资产及相应的预收租金、保证金等款项,,,205404.14,未列示,241624.2,,2011-09-30 00:00:00,0.176335588952,无,集团整体上市,财通证券,批发和零售贸易,股份+现金,商业贸易
华数传媒,,,13290.9,,,2012-06-08 00:00:00,2012.0,收益法,,有线电视网络运营,000156.SZ,12.837204403,不适用,195618.0,170618,,67575.82,华数传媒100%的股权,,9026.93,30482.92,未列示,170618.0,,2010-09-30 00:00:00,4.59716720052,无,借壳上市,中银国际,传播与文化产业,100%股份,传媒
