actual_controller,stock_code,owner_type,company_name,bargain_freq,ipo_at,start_at,industry,main_product,main_product_type,region,cash_reserve_2,cash_reserve_3,cash_reserve_1,growth_ratio_1,growth_ratio_2,growth_ratio_3,ssh_prop,net_profit,roe,concept_sector,row_index,pe,market_value,pb
李炜,300388.SZ,民营企业,国祯环保,,2014-08-01 00:00:00,19970225.0,水利、环境和公共设施管理业-生态保护和环境治理业,,,安徽省,64427965.01,76108444.47,79630254.8,31.2964,34.0909,64.9423,44.12,9.2592,12.3,污水处理;小盘绩优;超涨,1.0,79.1974,4571899406.44,8.8746
郭锡禄,300391.SZ,民营企业,康跃科技,,2014-08-01 00:00:00,20011224.0,制造业-通用设备制造业,,,山东省,45011478.02,31928468.25,94587405.35,31.3263,43.6505,41.5447,63.0,13.6886,18.83,小盘绩优;超涨,2.0,83.0168,2902145100.0,14.306
,603111.SH,公众企业,康尼机电,,2014-08-01 00:00:00,20001027.0,制造业-铁路、船舶、航空航天和其他运输设备制造业,,,江苏省,152807177.07,153583225.56,231551066.66,-25.2444,30.6825,-43.2705,11.78,11.1959,28.04,高铁;超涨;预增,3.0,58.4046,6832799545.0,17.5645
容建芬;裴振华,300390.SZ,民营企业,天华超净,,2014-07-31 00:00:00,19971113.0,制造业-计算机、通信和其他电子设备制造业,,,江苏省,38861269.66,43771667.46,43950336.06,-47.6352,56.483,-53.7034,39.84,10.6513,20.14,小盘绩优;超涨,4.0,99.4846,3665060000.0,18.4489
李永胜;李铭浚;李永强,603328.SH,外资企业,依顿电子,,2014-07-01 00:00:00,20000302.0,制造业-计算机、通信和其他电子设备制造业,,,广东省,711885001.7,458646346.74,1075228286.51,49.8858,18.8072,10.7127,79.96,12.4022,14.85,,5.0,41.0477,13203000000.0,5.4962
邓江波;任永红;丁彦辉,300389.SZ,民营企业,艾比森,,2014-08-01 00:00:00,20010823.0,制造业-计算机、通信和其他电子设备制造业,,,广东省,207603880.28,109389799.93,179347442.82,-31.4446,89.1048,15.3864,25.65,15.6638,38.99,绿色节能照明;小盘绩优;超涨;预增,6.0,57.4573,6567963900.0,19.0606
靳坤,603009.SH,民营企业,北特科技,,2014-07-18 00:00:00,20020621.0,制造业-汽车制造业,,,上海,32151024.54,12951196.38,51218967.02,-8.1551,6.7831,33.9574,52.82,7.8032,17.85,小盘绩优;超涨,7.0,68.6428,2806487700.0,10.7693
山东省地质矿产勘查开发局,000409.SZ,地方国有企业,山东地矿,,1996-06-27 00:00:00,19930428.0,采矿业-黑色金属矿采选业,,,山东省,192005091.39,754743.89,208640033.68,3.2409,-1.0003,26.3767,23.92,31.1267,12.68,预增;预减,8.0,41.0533,5204529888.45,4.8138
刘迪,300384.SZ,民营企业,三联虹普,,2014-08-01 00:00:00,19991012.0,科学研究和技术服务业-专业技术服务业,,,北京,198594062.67,149265355.92,189086946.28,-12.9134,2.2329,21.1965,45.32,23.1434,38.02,小盘绩优;超涨,9.0,55.3086,4425619800.0,15.9648
徐涛明;吉蔚娣,603006.SH,民营企业,联明股份,,2014-06-30 00:00:00,20030130.0,制造业-汽车制造业,,,上海,65191721.43,39709141.53,55930615.82,-13.0055,30.1415,41.8244,52.5,14.8885,19.99,小盘绩优;超涨,10.0,50.3902,3038400000.0,8.7176
"宫明杰,宫学斌",002726.SZ,民营企业,龙大肉食,,2014-06-26 00:00:00,20030709.0,制造业-农副食品加工业,,,山东省,139016705.59,123588393.75,83045122.38,10.5719,-15.4324,6.8026,46.83,3.6834,13.7,超涨,11.0,44.8884,5218118400.0,5.7856
重庆市国有资产监督管理委员会,603100.SH,地方国有企业,川仪股份,,2014-08-05 00:00:00,19991101.0,制造业-仪器仪表制造业,,,重庆,526735606.85,617696327.65,264030617.8,33.8565,5.3701,-45.6148,34.53,4.6296,12.84,超涨,12.0,46.5608,6584650000.0,6.489
阮鸿献;刘琼,002727.SZ,民营企业,一心堂,,2014-07-02 00:00:00,20001108.0,批发和零售业-零售业,,,云南省,386051167.4,386533992.15,520425407.54,9.1007,13.0737,-5.2236,33.75,6.7489,25.99,民营银行;超涨,13.0,49.5952,11945167000.0,10.615
陈德康,603168.SH,民营企业,莎普爱思,,2014-07-02 00:00:00,20000717.0,制造业-医药制造业,,,浙江省,91757319.4,33461182.06,105680207.75,-7.4157,-8.789,7.3626,38.42,16.5699,33.62,小盘绩优;超涨,14.0,58.7747,6117413500.0,17.0913
许为高;许恒青;许丽芳;许松青;许丹青,002728.SZ,民营企业,台城制药,,2014-07-31 00:00:00,20020523.0,制造业-医药制造业,,,广东省,150104761.39,90770182.37,162803280.22,143.3291,12.6409,5.3403,31.05,23.5045,25.67,小盘绩优;超涨,15.0,52.1261,4199000000.0,11.7742
江苏省涟水县人民政府,603369.SH,地方国有企业,今世缘,,2014-07-03 00:00:00,19971223.0,制造业-酒、饮料和精制茶制造业,,,江苏省,984013021.07,533463716.38,1142898696.7,41.0336,-2.3379,38.483,44.72,27.0376,34.08,,16.0,20.925,14256138000.0,6.0559
金卫东,603609.SH,民营企业,禾丰牧业,,2014-08-08 00:00:00,20030327.0,制造业-农副食品加工业,,,辽宁省,439635881.97,488470269.5,523389160.71,-13.4095,-17.3431,17.4627,16.58,2.1677,10.64,超涨,17.0,49.7558,8666399983.44,5.0406
方胜玲;王仁宗,300387.SZ,民营企业,富邦股份,,2014-07-02 00:00:00,20070122.0,制造业-化学原料和化学制品制造业,,,湖北省,42782977.57,57900853.32,34520022.41,-8.2928,-11.9743,-10.3081,32.86,19.8611,22.98,小盘绩优;超涨,18.0,57.5734,3458133000.0,11.379
许惠芬;杨建平,300385.SZ,民营企业,雪浪环境,,2014-06-26 00:00:00,20010212.0,制造业-专用设备制造业,,,江苏省,52005320.44,77890700.23,67592274.81,-0.1722,4.4323,-1.8548,39.24,13.523,17.67,PM2.5;小盘绩优;超涨,19.0,74.947,4208000000.0,11.8841
黄煜,300386.SZ,民营企业,飞天诚信,,2014-06-26 00:00:00,19980616.0,信息传输、软件和信息技术服务业-软件和信息技术服务业,,,北京,201306889.19,80174437.04,338894664.24,21.8224,9.7233,-12.9909,33.11,23.7846,49.5,移动支付;网络安全;小盘绩优;超涨;预增,20.0,64.607,12997368000.0,23.9807
浙江日报报业集团,600633.SH,地方国有企业,浙报传媒,,1993-03-04 00:00:00,19920701.0,文化、体育和娱乐业-新闻和出版业,,,浙江省,406679610.29,560342921.21,1542307342.06,28.743,67.4022,9.6423,49.76,20.9293,15.44,网络游戏;文化传媒概念(Wind);网络彩票;融资融券标的;券商重仓;大盘蓝筹;超涨;预增;高送转,21.0,50.2555,20688086941.9,5.6529
中国中材集团有限公司,603126.SH,中央国有企业,中材节能,,2014-07-31 00:00:00,19980601.0,科学研究和技术服务业-专业技术服务业,,,天津,168041748.76,301847863.78,170795567.34,15.9866,4.0569,4.383,60.64,8.5757,9.36,合同能源管理;超涨,22.0,70.2443,6389900000.0,6.1025
李学凌;柴继军;吴玉瑞;梁世平;袁闯;高玮;姜海林;廖道训;吴春红;陈智华,000681.SZ,民营企业,视觉中国,,1997-01-21 00:00:00,19931025.0,制造业-纺织服装、服饰业,,,江苏省,40623323.11,103284152.52,37809729.33,2.6301,18.0723,43.8185,14.61,12.4224,3.03,文化传媒概念(Wind);预增,23.0,3651.4267,16280677684.8,111.147
赵鸿富;赵叶青,300233.SZ,民营企业,金城医药,,2011-06-22 00:00:00,20080228.0,制造业-医药制造业,  氨基噻唑乙酸 、  头孢尼西侧链双钠盐(SMT-DS) 、 AE-活性酯 、 氨噻肟酸 、 呋喃铵盐（SMIA） 、 去甲氨噻肟酸乙酯 、 去甲胺噻肟酸乙酯 、 三嗪环 、 头孢地尼活性酯（BAEM） 、 头孢硫脒 、 头孢匹胺7位侧链酸（APG） 、 头孢他啶侧链酸 、 头孢他啶侧链酸活性酯（TAEM） ,高分子聚合物,山东省,441351484.8,458050557.04,351702409.09,-3.7237,-10.8329,15.422,37.67,7.1086,6.47,超涨;预增,24.0,87.11,5627021400.0,5.4003
姚建华,300141.SZ,民营企业,和顺电气,,2010-11-12 00:00:00,19981222.0,制造业-电气机械和器材制造业, FLUOKIT M24+高压可扩展式开关柜 、 FQXS-1-2非金属单相单表位电能计量装置 、 施耐德Mevolis中置柜 、DJ201系列动力普通节电装置、DJ301系列电动机节电装置、DJ401系列动力专用节电系列、FC系列高压滤波装置、FQXS-10非金属单相单表位电能计量装置、HSL-Ⅰ型防窃电计量装置、HSL-Ⅱ型防窃电计量装置、HTSC型高压动态无功补偿装置、KYN28A-12(24)型户内金属铠装抽出式开关设备、TSC系列低压动态无功补偿装置、ZBW系列户外箱式变电站、ZJ101系列智能照明节电装置、ZJ201系列普通照明节电装置、单相单表位电能计量装置FQXS-1、单相单表位预付费电能计量装置FQXS-3、低压无源滤波装置(PF)、工程非金属集中电能计量装置、混合型滤波装置(HAPF)、静态无功补偿SVC成套设备、三相单表位电能计量装置FQXS-2、三相单表位预付费电能计量装置FQXS-4、施耐德SC6-24环网柜、西门子SIKUS低压开关柜、有源电力滤波器(APF),变电设备、电气仪器仪表、继电保护及调度自动化,江苏省,358261121.13,533912593.73,322523092.82,17.6979,18.8885,15.8132,47.22,18.2784,10.24,智能电网,25.0,37.965,2379384081.0,3.5959
郑永刚,600110.SH,民营企业,中科英华,,1997-10-07 00:00:00,19940311.0,制造业-电气机械和器材制造业,"""CIAC""热缩电力电缆接续产品、""CIAC""热缩套管产品、CIAC钢质管道防腐材料、中科英华10微米铜箔、中科英华12微米铜箔、中科英华18微米铜箔、中科英华400微米铜箔、中科英华9微米铜箔、中科英华电线电缆、中科英华贸易、中科英华普通热缩细管、中科英华石油开采、中科英华天然气开采、中科英华粘性内表面热缩细管",进出口贸易、热缩产品、输电设备、天然气勘探与生产、铜、涂料与油漆、原油勘探与生产,吉林省,627400242.33,215082731.96,674905185.9,105.4541,0.3656,0.523,6.43,0.0743,0.28,长吉图板块;稀土永磁;融资融券标的;超涨,26.0,1404.7432,7764606654.75,3.8955
赵笃学,002526.SZ,民营企业,山东矿机,,2010-12-17 00:00:00,19991203.0,制造业-专用设备制造业,(DX TD75 DTII )通用固定带式输送机、100单体液压支柱、110单体液压支柱、DM普通搅拌机、DW40液压多斗挖掘机、KBB皮带式箱式给料机、M800细碎锤式粉碎机、PCM90破碎机、QT系列切条机、薄煤层刮板输送机、薄煤层液压支架、薄煤层综采成套设备、表面改制机、采煤机、超低带式输送机、超重型刮板输送机、磁选机、粗碎锤式破碎机、大倾角上下运带式输送机、德国GFK真空挤出机、非铰接长梁、分层铺网式液压支架、固定带式输送机、厚煤层综采成套设备、铰接顶梁、掘进机、可伸缩带式输送机、矿用高强度圆环链、煤泥分选机、起重用短环链、双向运输带式输送机、小型刮板输送机、掩护式液压支架、圆环链条、支撑掩护式液压支架、中厚煤层综采成套设备、中重型刮板输送机、转载机、自动加药系统、综采放顶煤液压支架,冶金机械,山东省,385175248.67,550260678.6,410128572.53,8.2738,-100.0,-92.6365,23.97,3.1888,2.35,通用航空;无人机;超涨;预减,27.0,103.829,4757940000.0,2.4206
周文,002324.SZ,民营企业,普利特,,2009-12-18 00:00:00,19991028.0,制造业-橡胶和塑料制品业,(PBT)工程塑料、苯乙烯共聚物(ABS)材料、聚丙烯(PP)高性能材料、聚碳酸酯(PC)合金材料、聚酰胺(PA)材料、热塑性聚酯材料、液晶高分子(LCP)材料,高分子聚合物,上海,178927176.14,366733150.95,233896301.8,28.1156,43.3818,101.9153,51.43,11.538,14.61,新材料;超涨,28.0,27.2346,5373000000.0,3.5951
徐仁华,002453.SZ,民营企业,天马精化,,2010-07-20 00:00:00,19990113.0,制造业-化学原料和化学制品制造业,(S)-(+)-2-Chlorophenylglycine methyl ester、2-(thiophen-2-yl)ethyl 4-methylbenzenesulfonate、AKD Emulsion-A10、Alkyl Ketene Dimer (AKD Wax)-65、Alkyl Ketene Dimer(AKD Wax)-10、CBZ-S-Phenyl-L-cysteine、Indazole-3-carboxylic acid、TH-SA200 AKD neutral sizing agent、TH-SF30 surface sizing agent,其他化学品,江苏省,75407152.24,154566199.58,180837433.1,7.1572,-11.9137,14.3494,25.98,4.2126,5.21,高送转,29.0,91.7234,4313315000.0,3.7071
国务院国有资产监督管理委员会,600528.SH,中央国有企业,中铁二局,,2001-05-28 00:00:00,19990924.0,建筑业-土木工程建筑业,(北)京沪(上海)铁路电气化工程、北京奥林匹克公路中心区中轴铺装及地下管线工程Ⅱ标段、北京奥运会场馆建设、北京赛落城、成（都）渝（重庆）高速公路缙云山隧道、成都府南河综合整治工程、东山国际、丰都长江大桥、丰都长江大桥工程、广（州）珠（海）城际轨道交通西江特大桥、广州市轨道交通六号线工程施工13标项目、贵阳南明河甲秀翻板坝、贵阳市花溪二道道路工程施工B标段、哈尔滨至大连客运专线土建工程TJ-1标段DK233+000～DK308+665.5段及全合同段正、站线铺轨工程、杭州萧山国际机场高速公路、衡（阳）广（州）铁路复线社岗水大桥、京承高速公路公路工程12标段、京-津城际铁路、京平高速公路(机场南线 高速公路-市界)工程、龙岩至厦门铁路工程施工LX-Ш标段、南（宁）昆（明）铁路米花岭隧道、南疆铁路吐鲁番至库尔勒段增建第二线工程S1标段、尼泊尔国家体育中心游泳场、青岛胶州湾隧道土建工程施工二合同段、厦门高崎机场太古101飞机维修库钢网架、上海轨道交通9号线R413项目、上海至瑞丽国道主干线(贵州境)镇宁至胜境关高速公路标段(三期)工程第37标、邵三高速公路MA11合同段梨树隧道、深圳宝安国际机场、深圳福田立交桥、世界跨海第一长桥杭州湾大桥、武-襄铁路、西藏通麦大桥、香港长沙湾码头工程、中铁地铁电化施工、中铁商品混凝土、中铁蜀郡、重庆渝澳大桥,公路建设、混凝土及砂浆、机场设施服务、建筑钢结构、民用建筑、住宅建筑,四川省,4547839581.26,3940036028.2,4490921806.96,19.8085,-7.5473,1.3707,49.46,0.8479,7.24,央企;高铁;融资融券标的;超涨,30.0,26.4078,11133696000.0,1.8487
张波,300155.SZ,民营企业,安居宝,,2011-01-07 00:00:00,20041229.0,制造业-计算机、通信和其他电子设备制造业,/1款非可视主机、/1款可视、/1款可视主机、/1款小门口主机、/4款小门口机、/5款别墅小门口机、04A款室内可视分机、04D款室内可视分机、05B款室内分机、05B款数字终端、07A款室内分机、07B款分机、07C款互通主机、10.1寸终端、3.5寸彩色分机、4寸黑白分机、7寸分机、7寸台式终端/管理机、DF2000-2VCN管理机、DF2000-2V系列管理机、N款室内可视分机、触摸屏门口主机、带门禁铝款可视主机、独户非可视主机、方钻系列主机、非可视分机、豪华型不锈钢门口主机、黑钻系列主机、红外／无线转发器、红外线灯光遥控器、户户隔离器、华钻系列主机、晶彩系列分机、晶彩系列数字终端、晶简室内分机、晶简室内分机(不带数字按钮)、晶灵室内分机、晶巧系列分机、晶莹室内分机、铝款直按非可视、煤气探头、全能型信息家电遥控器、视频放大器、视频分配器、钛金直按主机、无线红外探头、无线紧急按钮、无线门/窗磁、无线幕帘探测器、无线收发器、无线智能插座、系统设备电源、烟感探头、遥控智能开关、银钻系列主机、主机控制器,电子设备及加工,广东省,823762702.21,858151101.95,717496395.21,16.5694,5.4421,7.8387,38.41,19.1566,9.62,安防监控;智能家居;超涨;高送转,31.0,91.5766,9292833535.2,8.3823
国务院国有资产监督管理委员会,601106.SH,中央国有企业,中国一重,,2010-02-09 00:00:00,20081225.0,制造业-专用设备制造业,“1+4”铝板热连轧机、100万KW超临界低压转子、1100mm板坯连铸机、120t转炉、12500吨自由锻造水压机、15000吨自由锻造水压机、1500mm双机架可逆冷轧机、153吨大型锻钢支承辊、1549mm不锈钢热连轧机、1600吨级加氢裂化反应器、2000吨级压力机冲压线、2130mm五机架冷连轧机、2150mm热连轧机、2400吨多连杆机械压力机、250吨转炉、2800XPB矿用挖掘机、300MW高中压外缸、300MW级核反应堆压力容器、4100mm宽厚板轧机、4100XPC矿用挖掘机、6000吨拉伸矫直机、600MW级核反应堆压力容器、600吨级超大型核电用钢锭、660mw超临界高中压转子、8000吨热模锻压力机、8000吨油压机、AP1000核岛锻件、AP1000整体顶盖、H型钢轧机、PTA装置反应器、出口巴西330吨转炉、船用舵杆、船用曲轴曲拐锻件、大型汽化炉现场安装、锻钢工作辊、锻造半钢工作辊、钢包回转台、辊磨机、核反应堆压力容器壳体、卷筒轴、球磨机、容器产品的制造过程、三峡水轮机主轴、世界第一台2044吨级煤液化反应器、首套5500mm宽厚板轧机、我国第一台1900mm板坯连铸机、我国第一台300吨转炉、我国第一套1400超低头连铸机、我国第一套2300mm宽厚板连铸机、我国第一套大方、圆坯连铸机、我国首台1400吨级加氢反应器、轧制硅钢的1580mm热连轧机、轴承座、铸造结构不锈钢主泵泵壳、转炉悬挂减速机,船舶(配件)及其维修、动力机械、发电机及附属设备、工控机械、压力容器、冶金机械、重型建筑工程机械,黑龙江省,3871256668.37,2829727316.68,4745256657.77,-57.3252,1634.2715,4.6293,62.11,0.165,0.1029,核能核电;央企;高端装备制造;融资融券标的;超涨,32.0,1885.5159,32428480000.0,1.9794
梁怀宇;张泽民,002291.SZ,外资企业,星期六,,2009-09-03 00:00:00,20020725.0,制造业-纺织服装、服饰业,“FONDBERYL”(菲伯丽尔)女鞋、“MOOFFY”女鞋、“RIZZO”女鞋、“SAFIYA”(索菲娅)女鞋、“ST&SAT”( 星期六)女鞋、Baldinini、Killah女鞋代理,鞋子,广东省,407886532.08,452697899.39,415719942.39,-44.6719,-31.3006,-54.5693,40.34,1.9577,2.12,O2O;超涨,33.0,83.304,2834130000.0,1.7307
周庆治,300068.SZ,外资企业,南都电源,,2010-04-21 00:00:00,19971208.0,制造业-电气机械和器材制造业,“Narada南都”Acme中密系列电池、“Narada南都”GEL2V/12V聚合物胶体电池、“Narada南都”LSA大密系列电池、“Narada南都”LSE(EOS)大密系列电池、“Narada南都”MP中密系列电池,低压电器类,浙江省,1009907311.25,983202175.59,762697160.34,-12.2501,-47.6183,50.8255,19.69,4.3133,4.7,锂电池;石墨烯;燃料电池;超涨;预增,34.0,50.1182,6522017658.0,2.2584
施卫东,002571.SZ,民营企业,德力股份,,2011-04-12 00:00:00,20021016.0,制造业-非金属矿物制品业,“艾格莱雅”家庭用品礼盒、白玉瓷、餐杯、抽杯、吹平光杯、迪士尼系列水杯、花瓶、机压平光杯、开模机压杯、礼盒杯、密封罐、烟缸、扎啤杯、烛台,玻璃容器,安徽省,261935437.02,453351867.91,409671644.94,-18.329,108.2361,-67.1285,41.97,8.4034,6.73,融资融券标的;预减,35.0,56.1169,4495674529.0,2.8317
上海工商界爱国建设特种基金会,600643.SH,其他企业,爱建股份,,1993-04-26 00:00:00,19790922.0,金融业-其他金融业,“爱建新城”地下商铺租赁权信托计划、爱建爱博大厦、爱建东海商都项目信托、爱建顾村二期、爱建顾村一期、爱建浦东联洋大拇指广场信托、爱建上海复兴东路隧道项目资金信托计划、爱建上海环保投资--固体废弃物中转站信托计划、爱建上海解放日报传媒投资信托计划、爱建外环隧道股权信托优先受益权、爱建新家园、爱建永泰花苑重大工程配套商品房项目资金信托计划、爱建园、爱建颛桥项目、爱庐世纪新苑,商业地产、住宅楼盘、资金信托,上海,1106957702.02,431493069.64,765625461.87,6.5159,-15.2686,23.8693,12.3,266.6577,10.63,参股金融;上海本地重组;浦东新区;上海自贸区;融资融券标的;超涨,36.0,36.0546,17135128914.0,3.5565
刘晓东,002568.SZ,民营企业,百润股份,,2011-03-25 00:00:00,19970619.0,制造业-化学原料和化学制品制造业,“百润”香精,食品添加剂,上海,457243084.68,449425674.36,431112076.25,-5.3173,5.324,5.1669,38.8,32.6005,6.45,浦东新区;超涨;预增;并购阶段(需定增),37.0,159.9398,6697600000.0,10.2507
谢宏,002570.SZ,民营企业,贝因美,,2011-04-12 00:00:00,19990427.0,制造业-食品制造业,“贝因美”婴童服饰、“贝因美”婴童奶粉、“贝因美”婴童用品,乳制品、玩具、衣着用纺织品,浙江省,2206354679.38,2004054872.95,1514499294.18,-17.9849,40.7689,32.436,40.16,11.7874,19.73,二胎政策;融资融券标的;大盘蓝筹;预减;高送转,38.0,23.6115,17024958000.0,4.2759
南京市人民政府国有资产监督管理委员会,000421.SZ,地方国有企业,南京中北,,1996-08-06 00:00:00,19790701.0,综合-综合,“碧水云天”项目、“蔚蓝星座”项目、南京中北巴士、南京中北的士、南京中北旅游汽车、唐山赛德火电供应、燕山赛德火电供应,出租汽车、公交客运、火电、长途客运、住宅楼盘,江苏省,443702256.51,475937264.7,341821752.54,48.7238,12.936,-5.4453,30.06,5.8256,7.24,重组;LNG;预增;并购阶段(需定增),39.0,38.0295,2528608679.0,2.4995
石秦岭;赵红星;王黎明;李德敏;杜秋敏;刘维群;初照圣;金建全;王树华;张忠正,601678.SH,民营企业,滨化股份,,2010-02-23 00:00:00,19980521.0,制造业-化学原料和化学制品制造业,“滨化”环氧丙烷、“滨化”烧碱、32%离子膜法工业用氢氧化钠、48%离子膜法工业用氢氧化钠、98.5%离子膜法片碱、高纯盐酸、工业合成盐酸、工业助剂、粒碱、三氯乙烯、食品添加剂氢氧化钠(固体)、食品添加剂氢氧化钠(液体)、食品添加剂盐酸、试剂盐酸、新型建材产品,建筑型材、无机化工原料、有机化工原料,山东省,854054095.31,472806066.28,455040177.31,33.8397,18.5471,11.7736,10.5,6.1563,6.37,融资融券标的;预增,40.0,24.4505,6177600000.0,1.5045
王建军;寿鹤蕾;陈建国;陈建飞;寿能丰;吴永杰;陈智宇;寿彩凤;陈能恩;陈智君;王建霞;王建丽,002569.SZ,民营企业,步森股份,,2011-04-12 00:00:00,19931128.0,制造业-纺织服装、服饰业,“步森”服饰、步升花园、呼伦贝尔市步森百货大楼、扎赉诺尔步森百货大楼,百货商场、衣着用纺织品、住宅楼盘,浙江省,323887010.39,397204603.11,256171369.01,33.5652,121.9713,23.2322,59.55,0.8904,0.99,借壳上市;重组;超涨,41.0,420.5187,2550982200.0,4.1559
国务院国有资产监督管理委员会,601299.SH,中央国有企业,中国北车,,2009-12-29 00:00:00,20080626.0,制造业-铁路、船舶、航空航天和其他运输设备制造业,“春城号”动力分散型交直传动电动车组、“天梭”号交流传动电力机车、“长白山”号交流传动电动车组、160kmh内燃摆式动车组、25K型客车、C100A型运煤敞车、C32型运煤漏斗车、C3型集装箱平车、C70型通用敞车、C80型铝合金运煤敞车、CKD7C型内燃机车(1800hp)、CRH3型时速350公里及以上动车组、CRH5型时速200公里及以上动车组、D15A型凹底平车、DJJ1型动力集中交流传动电动车组、G17BK型粘油罐车、G60K型轻油罐车、GHA70型醇类罐车、GKD1A型调车内燃机车、GMC96型钢轨打磨车、HXD3B型大功率交流传动电力机车、HXD3型大功率交流传动电力机车、HXN3型大功率交流传动内燃机车、NZJ2型“神州”号双层内燃动车组、RZ25DT型二等硬座客车、SS3型电力机车、SS4型改造电力机车、SS8型电力机车、SSJ3型货运电力机车、XK45-9/540-JC型45吨蓄电池式交流传动工矿电机车、YGZN2Q213动车组变流器、YZ25K型硬座车、ZD126C大功率窄轨机车用直流牵引电动机、ZN315-LSB型涡轮增压器、北京城轨车辆、北京地铁车辆、北京机场线直线电机城轨车辆、出口澳大利亚5单元关节式集装箱平车、出口澳大利亚不锈钢矿石车、东风4DD型调车内燃机车、东风4D型准高速客运内燃机车(全悬挂转向架)、东风7G型模块化内燃机车、连所280/285型机车柴油机钢头铝裙活塞、路基处理车、模块化韶山7E型客运电力机车、韶山3B型货运电力机车、韶山6B型电力机车、韶山7B型重载货运电力机车、韶山7C型电力机车、韶山7D型电力机车、韶山7E型客运电力机车、韶山7E型模块化电力机车、韶山7型电力机车、时速200公里及以上高速综合检测列车、苏打粉漏斗车,发动机设备、重型卡车与专用车、自行车及配件,北京,9025114000.0,6037811000.0,9332046000.0,7.7031,9.292,14.4192,51.83,4.3459,11.43,央企;高铁;高端装备制造;沪股通50;融资融券标的;含H股的A股;社保重仓;QFII重仓;大盘蓝筹;超涨,42.0,19.1533,79075582954.4,2.0457
薜华,002311.SZ,民营企业,海大集团,,2009-11-27 00:00:00,20040108.0,制造业-农副食品加工业,“大川”饲料、“海大”鸡系列全价配合饲料、“海大”水产预混料、“海大”虾饲料、“海大”鸭鹅系列全价配合饲料、“海大”鱼饲料、“海大”猪系列浓缩料、“海大”猪系列全价配合饲料、“海大”猪系列预混料、“海航”鸡系列配合饲料、“海龙”海水鱼类膨化饲料、“华灵”鸡料、“容川”混养料、“容川”虾、蟹类配合饲、“容川”蟹料、海贝生物水质改良剂、海贝生物虾苗料、海贝生物消毒杀虫系列,饲料、有机化学农药,广东省,878551872.67,1063304560.49,1338093102.68,37.7834,42.2429,70.6906,60.79,1.8851,11.01,融资融券标的;预增,43.0,36.7192,12497569398.4,3.1126
国务院国有资产监督管理委员会,600877.SH,中央国有企业,中国嘉陵,,1995-10-13 00:00:00,19871114.0,制造业-铁路、船舶、航空航天和其他运输设备制造业,“独狼”摩托车、“金悍”摩托车、嘉陵100CC型摩托车、嘉陵125CC型摩托车、嘉陵150CC型摩托车、嘉陵200CC型摩托车、嘉陵250CC型摩托车、嘉陵八旗、嘉陵大飞跃、嘉陵发动机、嘉陵非球面透镜、嘉陵高精度球面透镜、嘉陵光学塑料零件镀膜产品、嘉陵好莱坞、嘉陵塑料内镜筒、嘉陵塑料外镜筒、嘉陵小富豪,车身及外观设备、电动车、发动机设备、光学辅材、摩托车,重庆,579262457.35,531728207.87,539092522.63,4.2883,-6.098,33.6041,22.34,-15.5248,-79.08,央企;融资融券标的;超涨,44.0,-24.2162,5814406058.4,31.598
北京市国有资产监督管理委员会,002186.SZ,地方国有企业,全聚德,,2007-11-20 00:00:00,19940616.0,住宿和餐饮业-餐饮业,“仿膳”直营店、“丰泽园”直营店、“四川饭店”直营店、仿膳饭庄满汉全席、仿膳荷叶饼、仿膳甜面酱、丰泽园饭店葱烧海参、全聚德刺参扣鸭掌、全聚德干烧四鲜、全聚德黄油煎鸭肝、全聚德火燎鸭心、全聚德芥末鸭掌、全聚德烤鸭、全聚德连锁店、全聚德卤鸭胗、全聚德水晶鸭宝、全聚德盐水鸭肝、全聚德真空包装烤鸭,连锁餐饮、米面类、肉制品、休闲食品,北京,247737969.21,209920930.74,268036947.3,25.0175,3.6422,16.0804,42.67,6.4073,12.41,,45.0,55.5474,6113755588.1,6.4799
,000810.SZ,公众企业,创维数字,,1998-06-02 00:00:00,19891110.0,制造业-计算机、通信和其他电子设备制造业,“涪江”OE7S－32S气流纺纱、“涪江”涤棉府绸、“涪江”锦纶丝、“涪江”精梳20S－120S高档针织纱、“涪江”莱卡弹力纱、“涪江”棉布、“涪江”普梳纯棉布、“涪江”纱线,其他纺织品及原料、衣着用纺织品,四川省,56609185.72,133488151.32,41301618.64,-56.2245,314.2181,6.2897,58.54,1.4525,0.75,智能电视,46.0,2337.3569,8696963446.86,17.7553
