actual_controller,stock_code,owner_type,company_name,bargain_freq,ipo_at,start_at,industry,main_product,main_product_type,region,cash_reserve_2,cash_reserve_3,cash_reserve_1,growth_ratio_1,growth_ratio_2,growth_ratio_3,ssh_prop,net_profit,roe,concept_sector,row_index,pe,market_value,pb
北京市国有资产监督管理委员会,600386.SH,地方国有企业,北巴传媒,,2001-02-16 00:00:00,19990618.0,批发和零售业-零售业,北京八方达巴士长途客运、北京巴士、北京巴士车体广告、北京巴士汽车驾校、北京巴士汽车销售、北京巴士汽车修理及配件、北京巴士汽车租赁、北京旅游专线,公交客运、广告代理、汽车及零配件经销、汽车维修、汽车租赁、学校、长途客运,北京,970431432.49,815264942.29,1027271075.98,14.3308,10.1008,32.3304,55.0,5.8446,11.44,文化传媒概念(Wind);LNG;融资融券标的;超涨,658.0,26.9825,4701312000.0,2.8942
丁明山,000802.SZ,民营企业,北京文化,,1998-01-08 00:00:00,19971118.0,水利、环境和公共设施管理业-公共设施管理业,北京百花山、北京广信嘉园、北京戒台寺、北京临镜苑、北京灵山风景区、北京龙泉宾馆、北京龙泉水上乐园、北京妙峰山、北京绮霞苑、北京潭柘寺、锏特种水泥,酒店、旅游景点、水泥、住宅楼盘,北京,86222567.21,212861905.91,263617665.27,-0.7269,-6.4392,13.6642,28.65,19.7635,3.88,文化传媒概念(Wind);超涨;并购阶段(需定增),659.0,168.2056,5474713256.0,6.4319
北京市国有资产监督管理委员会,600266.SH,地方国有企业,北京城建,,1999-02-03 00:00:00,19981230.0,房地产业-房地产业,北京城建北苑家园、北京城建富海中心、北京城建汇和综合楼、北京城建质城、城建北苑南区、城建东坝、城建动感花园、城建国际财源中心、城建花市枣苑、城建京会花园酒店、城建南京国际商城、城建清河小营、城建尚源·印象、城建世华诚合大厦、城建世华国际、城建世华水岸、城建首城国际中心、城建五棵松文化体育中心、城建银泰中心、公园2008,商业地产、住宅楼盘,北京,5686315632.41,2994111613.89,5070473631.16,-56.2904,13.1356,38.377,40.39,18.4688,15.94,融资融券标的;大盘蓝筹;超涨,660.0,20.9976,26968758400.0,3.1003
北京市国有资产监督管理委员会,600861.SH,地方国有企业,北京城乡,,1994-05-20 00:00:00,19921103.0,批发和零售业-零售业,北京城乡仓储大超市、北京城乡华懋商厦、北京城乡贸易中心商场,百货商场、大卖场,北京,750738546.51,625344013.39,619342362.47,-27.2578,26.1463,25.4948,33.49,4.1063,4.29,超涨,661.0,34.8755,3244082677.76,1.4521
深圳市人民政府国有资产监督管理委员会,000061.SZ,地方国有企业,农产品,,1997-01-10 00:00:00,19890414.0,租赁和商务服务业-商务服务业,北京大红门京深海鲜批发市场、成都农产品中心批发市场、福田农产品批发市场、广东惠州农产品物流配送中心、广西海吉星国际农产品物流中心、广西糖网食糖批发市场、合肥周谷堆农产品批发市场、南昌深圳农产品批发市场、山东寿光蔬菜批发市场、上海农产品中心批发市场、深圳布吉农产品中心批发市场、深圳海吉星国际农产品物流园、沈阳海吉星农产品物流交易中心、天津海吉星农产品物流中心、天津韩家墅海吉星农产品物流中心、西安摩尔农产品批发市场、西北果品中心批发市场、长沙马王堆蔬菜批发市场,农副产品批发市场,广东省,1505801874.4,1788387379.49,1458257118.47,8.1755,3.8853,1.081,24.76,9.9541,2.35,智能物流;融资融券标的;券商重仓;预增,662.0,178.4059,19854480332.7,4.0889
国务院国有资产监督管理委员会,601390.SH,中央国有企业,中国中铁,,2007-12-03 00:00:00,20070912.0,建筑业-土木工程建筑业,北京地铁奥运支线BT项目、北京地铁十号线一期工程、北京南站建设、广西岑梧高速公路、合肥至南京铁路客运专线、合肥至武汉铁路客运专线、河南省郑州市好望角国际公寓、京津城际客运专线施工、跨海大桥杭州湾大桥、青岛至济南铁路客运专线、厦门公铁合建公路跨海大桥A标（杏林大桥）、山东德商高速公路、沈阳市五爱隧道、武汉市金桥港湾花园、云南富砚高速公路、中国中铁道岔、中国中铁房地产开发、中国中铁复合式土压平衡盾构机、中国中铁高速公路建设、中国中铁工程承包业务、中国中铁工程监理业务、中国中铁工程设计业务、中国中铁普通公路建设、中国中铁桥梁钢结构工程、中国中铁桥梁建设、中国中铁铁路隧道建设,工业建筑、公路建设、轨道交通、建筑钢结构、民用建筑、住宅楼盘、专用设备与零部件,北京,72490809000.0,63582878000.0,81423526000.0,-2.8834,5.0232,32.778,56.1,1.803,11.39,央企;高铁;融资融券标的;含H股的A股;社保重仓;大盘蓝筹;超涨,663.0,11.1559,1.04582509e+11,1.1748
北京市国有资产监督管理委员会,600658.SH,地方国有企业,电子城,,1993-05-24 00:00:00,19861224.0,房地产业-房地产业,北京电子城、电子城物业管理,商业地产,北京,1856171497.38,1324656380.5,1817897194.19,2.4295,-17.7569,12.0766,66.15,33.7716,19.53,新三板;超涨,664.0,14.8563,7402042849.52,2.5216
北京市人民政府国有资产监督管理委员会,600723.SH,地方国有企业,首商股份,,1996-07-16 00:00:00,19931220.0,批发和零售业-零售业,北京法雅商贸有限责任公司、北京光彩伟业商业有限公司、北京西单商场、北京西羽戎腾商贸有限公司、北京谊星商业投资发展有限公司、北京友谊商店、河北金鹰食品有限公司、四川金鹏食品有限公司、万方西单商场、西单商场成都店、西单商场格尔木店、西单商场兰州店、西单商场青海西宁店、西单商场天通苑购物中心、西单商场乌鲁木齐店、西单商场皂君庙店,百货商场、服饰经销、蔬菜加工制品,北京,4125606954.23,3606278352.37,3736526576.56,35.1449,-13.669,29.1426,37.79,4.271,11.67,O2O,665.0,14.7208,4845879597.44,1.6768
北京市国有资产监督管理委员会,600429.SH,地方国有企业,三元股份,,2003-09-15 00:00:00,20010228.0,制造业-食品制造业,北京干酪、三元巴氏袋装乳饮料、三元巴氏袋装鲜奶、三元巴氏特优纯牛奶、三元纯牛奶、三元儿童奶粉、三元全脂奶粉、三元乳酸菌饮料、三元酸奶、三元特品奶、三元婴儿奶粉、三元孕妇奶粉、三元中老年奶粉,乳制品,北京,407836063.63,541285291.89,246549731.43,117.0365,21.6031,14.1747,36.93,-7.6135,-13.4,二胎政策,666.0,-34.2995,7770300000.0,5.2671
西安市国有资产监督管理委员会,000721.SZ,地方国有企业,西安饮食,,1997-04-30 00:00:00,19940518.0,住宿和餐饮业-餐饮业,北京关中人家、老孙家饭庄、西安大香港鲍翅酒楼、西安德发长酒店、西安东亚饭店、西安饭庄、西安饭庄沣镐店、西安解放路饺子馆、西安烤鸭店、西安烤鸭店航天酒楼、西安同盛祥饭庄、西安五一饭店、西安永宁宫大酒店,餐馆、酒店,陕西省,102079349.5,129040777.86,112173450.05,-14.5261,13.3901,-17.6059,21.04,2.7627,2.38,丝绸之路;职业教育;超涨;预增;预减;高送转,667.0,181.4808,2684920849.6,3.7923
叶立培;叶茂菁,600620.SH,外资企业,天宸股份,,1992-11-17 00:00:00,19920701.0,综合-综合,北京广益大厦、上海四川北路玫瑰广场、天宸股份桂平住宅小区、天宸股份和泰玫瑰园、天宸股份联农大厦、天宸股份名都城、天宸股份名都新城、天宸股份南证大厦、天宸股份上海华一新城动迁、天宸股份上海金海岸花园、天宸股份头孢氨苄胶囊、天宸股份头孢克洛分散片、天宸股份维C银翘片、天宸股份西郊花园别墅、天宸股份心仪雅苑、天宸股份运输客运、天宸股份真南小区、天宸股份仲盛金融大厦,拆迁改建、公路运输、抗生素类抗感染制剂、商业地产、维生素类与矿物质类制剂、住宅楼盘,上海,275976276.33,391908633.63,295244947.81,29.3952,38.5087,-33.3148,25.08,318.4607,15.04,浦东新区;养老产业;融资融券标的;超涨;预增,668.0,38.321,4536646793.22,5.1895
国务院国有资产监督管理委员会,000031.SZ,中央国有企业,中粮地产,,1993-10-08 00:00:00,19830224.0,房地产业-房地产业,北京后沙峪、成都御岭湾、广州金域蓝湾、厦门鹭江海景、深圳卡罗社区、深圳中粮幸福花园、长沙北纬28度、中粮宝恒大厦、中粮地产集团中心、中粮复印机金属结构件、外壳和零部件、中粮高速数据接口连接电缆、中粮海滨城广场三期、中粮加工各类镀锌钢板、中粮加工各类冷轧钢板、中粮加工生产各类电源线、中粮澜山、中粮深圳宝翠山庄、中粮深圳宝海花园、中粮深圳宝河裕宝大厦、中粮深圳宝恒工业园、中粮深圳宝雅花园、中粮深圳大洋开发区、中粮深圳海滨广场、中粮深圳昆仑阁、中粮深圳望海阁、中粮深圳新望阁、中粮深圳新玥庭、中粮生产加工装配各种规格微型马达、中粮微型打印机及配件、中粮印字机金属结构件、外壳和零部件,打印机、动力机械、复印机、钢板类、开发区园区、商业地产、输电设备、物业出租和管理、印刷机械、住宅楼盘,广东省,5962774756.13,3946359129.1,6925058798.37,-3.9812,0.4881,20.5357,50.65,9.0305,10.48,央企;深圳前海新区;国资改革;融资融券标的;超涨,669.0,23.5466,12587297276.2,2.3512
海南省文化交流促进会,600361.SH,其他企业,华联综超,,2001-11-29 00:00:00,19960607.0,批发和零售业-零售业,北京华联(大连)综合超市、北京华联北京阜成门百货店、北京华联直营综合超市、甘肃华联综合超市、广西华联综合超市、兰州华联综合超市、南京大厂华联综合超市、内蒙古金宇综合超市、青海华联综合超市、四川华联综合超市、重庆华联综合超市,百货商场、连锁超市,北京,5083698148.56,4854251949.85,5696882205.73,8.6919,-11.8269,-27.0091,29.17,0.3055,1.34,央企;赛马;超涨,670.0,98.8228,4008163666.36,1.3189
国务院国有资产监督管理委员会,000069.SZ,中央国有企业,华侨城A,,1997-09-10 00:00:00,19970902.0,水利、环境和公共设施管理业-公共设施管理业,北京华侨城商业广场、东部华侨城天麓七区、华侨城“纯水岸五期”、华侨城三峡旅游、华侨城曦城项目、华侨城中旅社、上海华侨城、深圳波托菲诺项目、深圳东部华侨城、深圳欢乐谷、深圳锦绣中华、深圳世界之窗、长沙世界之窗,百货商场、旅行社、旅游景点、住宅楼盘,广东省,9180337870.3,6139604313.52,9408856529.85,26.52,-12.8637,31.2097,56.9,17.6022,20.16,央企;深圳前海新区;融资融券标的;社保重仓;大盘蓝筹;超涨,671.0,10.8205,47700008256.3,1.9445
刘年新,002325.SZ,民营企业,洪涛股份,,2009-12-22 00:00:00,19850114.0,建筑业-建筑装饰和其他建筑业,北京华为基地办公楼装饰工程、北京人民大会堂国宴厅装饰工程、北京中银大厦装饰工程、钓鱼台国宾馆装饰工程、方凯华庭售楼部装饰工程、观澜曾总四合院装饰工程、国家体育场“鸟巢”体育中心装饰工程、杭州建设银行装饰工程、华侨城天鹅堡会所装修、景德镇开门子大酒店照明工程、昆山郑先生住宅装饰工程、南昌洪都大桥景观照明工程、内蒙古大剧院装饰工程、内蒙古锡林浩特大酒店装饰工程、山东烟台别墅装饰工程、上海大剧院装饰工程、上海东方艺术中心装饰工程、深圳发展银行幕墙装饰、深圳市市民中心广场夜景艺术照明设计方案、深圳银湖别墅装饰工程、万科金域蓝湾张宅装修、武汉大剧院装饰工程、星河丹堤王老师别墅装饰工程、徐州龙湖国际售楼部装饰工程、云南曲靖高速立交照明工程、浙江广电中心装饰工程、中共中央对外联络部装饰工程、中国银监会大堂装饰工程、中央电视台新址装饰工程、重庆民族广场幕墙装饰、珠海温泉海洋度假村酒店装饰工程、最高人民检察院装饰工程,装修工程,广东省,441090595.79,731820258.43,348758820.53,-12.3005,-20.1295,-5.7902,30.11,7.8835,17.06,装饰园林;融资融券标的;超涨;预增,672.0,30.9989,8664895932.71,4.4951
,600383.SH,公众企业,金地集团,,2001-04-12 00:00:00,19960208.0,房地产业-房地产业,北京金地格林小镇、北京金地国际花园、金地北京东莞格林小城、金地翠园、金地格林春岸、金地格林郡、金地格林上院、金地广州荔湖城项目、金地国际花园、金地海景、金地海景翠堤湾、金地海景花园、金地花园、金地金海湾花园、金地九珑壁、金地名津深圳、金地曲江尚林苑、金地上海格林世界、金地深圳梅陇镇项目、金地沈阳国际花园、金地天津格林世界、金地未来域、金地武汉格林小城、金地香蜜山、金地中心北京、上海金地格林春晓、深圳金地网球花园,商业地产、住宅楼盘,广东省,20616228441.7,18638387570.9,18609949221.7,84.3872,-26.2105,17.9433,21.81,12.9469,13.11,深圳前海新区;融资融券标的;大盘蓝筹,673.0,11.9479,43118049331.2,1.4804
北京市国有资产监督管理委员会,600258.SH,地方国有企业,首旅酒店,,2000-06-01 00:00:00,19990212.0,租赁和商务服务业-商务服务业,北京京伦饭店、北京民族饭店、北京前门饭店、北京神舟国际旅行社、北京展览馆、海南南山文化旅游区,公共服务、酒店、旅行社、旅游景点,北京,409002364.82,249725247.35,298782180.35,10.1524,-17.1988,42.3575,60.12,4.6081,11.54,海南旅游岛,674.0,29.8935,3526536000.0,3.1956
北京市国有资产监督管理委员会,600008.SH,地方国有企业,首创股份,,2000-04-27 00:00:00,19990831.0,电力、热力、燃气及水生产和供应业-水的生产和供应业,北京京通快速路、首创股份安阳市市政供水、首创股份宝鸡市政供水、首创股份北京市市政供水、首创股份北京市污水处理、首创股份东营市市政供水、首创股份淮南市市政供水、首创股份九江市污水处理、首创股份临沂市市政供水、首创股份马鞍山市市政供水、首创股份秦皇岛市市政供水、首创股份青岛市市政供水、首创股份深圳市市政供水、首创股份铜陵市市政供水、首创股份渭南市市政供水、首创股份新大都饭店、首创股份徐州市市政供水、首创股份余姚市市政供水,高速公路收费、酒店、市政供水、污水处理,北京,2338063281.01,3153353084.15,3265278460.32,-3.9892,6.6291,7.4693,59.52,20.0529,10.19,环保概念;污水处理;融资融券标的;超涨,675.0,33.9551,20416000000.0,3.3447
北京市西城区国有资产监督管理委员会,600743.SH,地方国有企业,华远地产,,1996-09-09 00:00:00,19920208.0,房地产业-房地产业,北京九都汇项目、华远北京公馆、华远地产海润国际公寓、华远地产昆仑公寓、华远地产尚都国际中心、华远地产望海楼、华远地产盈都大厦、华远华泽大厦、华远静林湾、华远君城、华远企业号、华远青岛汇丰名车世界、华远裘马都、华远首府、华远西安1001厂项目、华远霄云路项目、华远长沙金外滩项目,工业建筑、商业地产、住宅楼盘,北京,2756223357.47,910639355.5,2875776762.45,30.137,10.4066,29.3549,46.069,17.8335,21.03,融资融券标的;大盘蓝筹;超涨,676.0,11.1098,7288820634.06,2.0952
国务院国有资产监督管理委员会,000043.SZ,中央国有企业,中航地产,,1994-09-28 00:00:00,19940924.0,房地产业-房地产业,北京凯迪克格兰云天大酒店、观澜中航城、广东国际大酒店、昆山中航城、上海园林格兰云天大酒店、深圳格兰情天商务公寓、深圳格兰云天大酒店、深圳花园格兰云天大酒店、深圳名仕苑住宅区、深圳市中航物业、深圳香水郡住宅区、深圳中航城、深圳中航沙河商务和工业区、深圳中航苑商务和工业区、中航地产自行车,酒店、开发区园区、商业地产、物业出租和管理、住宅楼盘、自行车及配件,广东省,1436048870.15,915848128.74,1393210565.24,26.883,4.3043,24.7674,22.35,8.0234,15.04,央企;深圳前海新区;融资融券标的;超涨,677.0,11.8524,5535779752.8,1.683
北京市顺义区人民政府国有资产监督管理委员会,600463.SH,地方国有企业,空港股份,,2004-03-18 00:00:00,20000328.0,建筑业-土木工程建筑业,北京空港创意产业中心、北京天源建筑工程施工、北京天竺空港工业区、天竺出口加工区,工业建筑、开发区园区、物业出租和管理,北京,575801006.14,291067983.12,457762561.45,103.7176,145.8471,106.4505,58.25,8.3545,9.97,新三板;超涨,678.0,37.9055,2857680000.0,3.5983
云南省国有资产监督管理委员会,600239.SH,地方国有企业,云南城投,,1999-12-02 00:00:00,19930130.0,房地产业-房地产业,北京路交三桥项目、大理古城西南片区保护与发展武庙会、大理古城西南片区桃源居、大理河赕古道系列项目、东川古铜旅游小镇项目、东川九寰大道、东骧神骏项目、环湖东路土地一级开发项目、昆明艺术工场森林湖项目、绿世界地块项目、陕西咸阳世纪大道770亩房地产开发用地项目、小哨低密度住宅建设项目、云滨大厦项目、云南城投建都国际建材城项目,商业地产、住宅楼盘,云南省,4577459129.9,909346338.41,1679300888.88,-3.2027,-12.1843,-0.4553,32.86,15.4943,8.64,融资融券标的;超涨,679.0,16.3728,5237009610.24,1.3512
李维,600209.SH,民营企业,罗顿发展,,1999-03-25 00:00:00,19930506.0,建筑业-建筑装饰和其他建筑业,北京罗顿装饰工程、海南金海岸装饰工程、金海岸罗顿大酒店、上海罗顿装饰工程、上海名门世家四期商业广场、中油罗顿连锁加油站,加油站、酒店、装修工程,海南省,91714230.11,53635188.49,56011038.76,3.8198,-15.4267,12.4171,20.0,-18.4051,-3.69,海南旅游岛;三沙;土地流转;融资融券标的;超涨,680.0,-186.8681,4631567832.95,7.0868
任元林,000594.SZ,民营企业,*ST国恒,,1996-03-20 00:00:00,19890823.0,批发和零售业-批发业,北京茂屋开发楼房、北京茂屋租赁、北京宣祥家园、甘肃酒航铁路、罗岑铁路项目,铁路客运、物业出租和管理、住宅楼盘,天津,857784588.9,195429488.46,18866357.03,15.9283,1.8302,7.8664,12.08,-54.8376,-7.71,智能物流;*ST,681.0,-10.1256,2285470994.76,0.814
盛小宁;盛毓南,000668.SZ,民营企业,荣丰控股,,1996-12-10 00:00:00,19880902.0,房地产业-房地产业,北京荣丰房地产、荣丰嘉园,住宅楼盘,上海,32994250.59,9207306.1,240705308.38,-3.9468,17.9377,-10.6952,39.28,4.4925,0.26,重组;浦东新区;超涨,682.0,1143.5515,2022012825.3,3.0736
上海市闸北区国有资产监督管理委员会,600773.SH,地方国有企业,西藏城投,,1996-11-08 00:00:00,19961025.0,房地产业-房地产业,北京融侨汇通大型住宅区、福建福清市成龙步行街、福州铂金时代、上海东外滩高档景观住宅、新西兰澳克兰市万花高级别墅小区,商业地产、住宅楼盘,西藏自治区,888089837.95,1170798953.4,262672655.01,8.6374,2.7379,6.8001,43.62,10.6211,5.95,涉矿;融资融券标的,683.0,124.6668,8932867371.75,7.1612
王凯龙;胡安君;王蕾;王长荣;王婷婷;王飘扬,300055.SZ,民营企业,万邦达,,2010-02-26 00:00:00,19980417.0,建筑业-土木工程建筑业,北京师范大学中水处理工程、丹东化纤公司给水厂改造工程、东莞长安明城电镀厂电镀废水处理工程、河南焦作金箭实业公司骨胶厂骨胶废水处理工程、湖北新业烟草科技开发公司烟草废水处理工程、湖南常德烟厂祁东分厂烟草废水处理工程、山东齐鲁石化堠皋地下水微污染处理工程、神华宁煤煤基烯烃项目水处理EPC(循环排污水)工程、神华宁夏煤业集团25万吨甲醇装置脱盐水处理工程、神华宁夏煤业集团宁东煤化工基地(A区)污水处理BOT工程、西柏坡电厂三期工程2×600MW超临界机组污水回用工程、西柏坡电厂三期工程循环排污水用于锅炉补给水处理工程、湛江冠龙纸业造纸废水处理工程、中石油抚顺石化80万吨/年乙烯工程EPC(污水处理)项目,污水处理,北京,1237436586.06,1207173623.1,1155838059.75,34.4239,2.0594,36.5548,28.88,18.1969,7.87,环保概念;污水处理;融资融券标的;超涨,684.0,75.5519,10618519344.6,5.699
湖南省国有资产监督管理委员会,000428.SZ,地方国有企业,华天酒店,,1996-08-08 00:00:00,19960803.0,住宿和餐饮业-住宿业,北京世纪华天酒店、湖北凯旋门大酒店、湖南华天大酒店、华天之星经济型酒店、灰汤温泉项目、潇湘华天大酒店、益阳华天大酒店、长春华天酒店,度假村、酒店,湖南省,247075516.86,359854134.53,233025640.17,0.8247,-13.5424,56.9912,46.03,6.2511,7.44,重组;并购阶段(需定增),685.0,36.3509,4335123780.0,2.6826
许荣茂,600823.SH,外资企业,世茂股份,,1994-02-04 00:00:00,19931222.0,房地产业-房地产业,北京世茂大厦、常熟世茂商业地产、福州世茂外滩花园、昆山世茂华东商城、南京世茂滨江新城、上海世茂湖滨花园,商业地产、物业出租和管理、住宅楼盘,上海,4733739283.06,5015390584.92,5418528600.84,101.1421,10.6692,-18.6525,47.67,18.4311,12.15,融资融券标的;大盘蓝筹;超涨,686.0,9.0474,14866560792.6,1.0336
薛黎曦;韩国龙及其配偶;韩国龙,600067.SH,民营企业,冠城大通,,1997-05-08 00:00:00,19900815.0,房地产业-房地产业,"北京市朝阳区太阳星城火星园项目、北京市广渠门外南街危改小区、北京太阳星城（太阳宫新区）F区项目、北京太阳星城E区“水星园”住宅项目、福州""冠城鼓楼庭院""项目、冠城大通钢芯铝绞线、冠城大通特种漆包线、冠城鼓楼庭院、冠城江景、冠城苏州宏业、冠城朱陵阁、广渠门（冠城?名敦道）项目、桂林清秀花园、桂林清秀庭院、南京万盛世纪新城项目",输电设备、住宅建筑、住宅楼盘,福建省,2000407913.71,844599548.27,907864289.35,67.592,9.673,2.6436,34.99,15.6198,30.95,海峡西岸;深圳前海新区;融资融券标的;含可转债;大盘蓝筹;超涨;预增,687.0,6.8763,8786318475.42,1.8404
